year,favorite_win_flag,logistic_isotonic
2014,1,0.6032679738562091
2013,1,0.6537037037037037
2011,1,0.8484848484848485
2012,1,0.4901315789473684
2011,0,0.3125
2013,1,0.6875
2014,1,0.7413632119514473
2011,0,0.3125
2013,1,0.4901315789473684
2014,0,0.7413632119514473
2012,1,0.6537037037037037
2014,1,0.63267222934243
2012,0,0.4
2012,1,0.5608465608465608
2011,0,0.7083586901636062
2012,0,0.7067307692307692
2011,0,0.7878787878787878
2012,0,0.8484848484848485
2013,1,0.7820383281341771
2012,0,0.6537037037037037
2011,1,0.85
2013,1,0.7119047619047619
2011,1,0.7878787878787878
2012,0,0.2222222222222222
2012,1,0.6875
2011,0,0.8484848484848485
2013,1,0.6537037037037037
2014,0,0.6032679738562091
2013,0,0.7253787878787878
2011,1,0.5608465608465608
2014,1,0.7413632119514473
2012,0,0.42592592592592593
2011,1,0.7253787878787878
2012,1,0.8484848484848485
2014,1,0.64
2014,1,0.4375
2013,1,0.7878787878787878
2013,0,0.7878787878787878
2011,1,0.7037037037037037
2013,1,0.7037037037037037
2011,1,0.8484848484848485
2011,1,0.85
2011,1,0.8484848484848485
2012,0,0.7692307692307692
2011,0,0.5110615985681317
2011,1,0.7878787878787878
2013,0,0.7878787878787878
2012,0,0.35714285714285715
2012,0,0.42857142857142855
2014,0,0.5032679738562091
2014,0,0.5032679738562091
2012,0,0.42857142857142855
2013,1,0.6537037037037037
2013,1,0.8484848484848485
2011,0,0.7878787878787878
2011,1,0.85
2013,1,0.55
2011,1,0.5875
2013,0,0.8484848484848485
2012,1,0.8484848484848485
2013,0,0.5446428571428572
2011,1,0.4318181818181818
2012,0,0.8484848484848485
2012,1,0.8484848484848485
2013,0,0.8484848484848485
2011,1,0.85
2011,1,0.7619047619047619
2011,0,0.7119047619047619
2012,1,0.8484848484848485
2012,0,0.5
2011,0,0.85
2013,1,0.8484848484848485
2013,0,0.6800967017775802
2012,1,0.8571428571428572
2013,0,0.8484848484848485
2013,0,0.7067307692307692
2013,1,0.7893916483123002
2011,1,0.9
2013,1,0.9
2013,0,0.7097635986763877
2013,0,0.7878787878787878
2014,0,0.44033759074805007
2014,0,0.8733333333333334
2011,1,0.8484848484848485
2012,1,0.7619047619047619
2012,1,0.85
2014,1,0.7780952380952382
2012,1,0.7878787878787878
2014,1,0.6032679738562091
2014,0,0.5032679738562091
2013,1,0.85
2011,0,0.7619047619047619
2011,1,0.8
2012,1,0.85
2012,0,0.6537037037037037
2013,0,0.8484848484848485
2011,1,0.49157413270240125
2011,0,0.6537037037037037
2011,1,0.828747874587789
2012,1,0.85
2013,1,0.7878787878787878
2013,1,0.9
2013,0,0.8484848484848485
2012,1,0.8484848484848485
2012,1,0.9
2014,1,0.8733333333333334
2012,1,0.8506264400911372
2011,0,0.8484848484848485
2011,0,0.9
2011,1,0.85
2012,0,0.85
2013,1,0.8484848484848485
2011,0,0.7067307692307692
2011,1,0.7822881417841757
2014,1,0.6032679738562091
2011,0,0.8484848484848485
2011,1,0.8484848484848485
2014,1,0.8733333333333334
2011,0,0.8484848484848485
2013,0,0.8571428571428572
2012,1,0.8484848484848485
2014,1,0.7780952380952382
2013,1,0.9
2013,1,0.85
2012,1,0.8840946195762451
2013,1,0.8484848484848485
2012,0,0.7878787878787878
2012,1,0.7619047619047619
2013,1,0.85
2011,0,0.7037037037037037
2012,1,0.9
2014,1,0.8733333333333334
2013,1,0.7878787878787878
2014,1,0.7780952380952382
2014,1,0.6032679738562091
2012,0,0.85
2012,1,0.85
2014,1,0.7780952380952382
2013,0,0.9
2013,1,0.85
2013,1,0.9
2012,1,0.85
2012,1,0.8571428571428572
2014,0,0.8733333333333334
2013,0,0.9
2013,1,0.9333333333333333
2014,1,0.5032679738562091
2014,0,0.8733333333333334
2011,1,0.9
2012,1,0.9
2012,1,0.8528060368943976
2012,0,0.9
2014,1,0.7780952380952382
2014,1,0.7780952380952382
2014,0,0.64
2013,1,0.7619047619047619
2013,0,0.7878787878787878
2011,0,0.8484848484848485
2012,1,0.9
2014,1,0.64
2014,0,0.7780952380952382
2011,0,0.8484848484848485
2012,1,0.9
2012,1,0.8571428571428572
2012,1,0.9
2011,0,0.8484848484848485
2011,0,0.9333333333333333
2014,1,0.8733333333333334
2014,1,0.7780952380952382
2013,1,0.9
2011,1,0.7619047619047619
2011,1,0.9333333333333333
2013,1,0.9
2011,1,0.6544684721680256
2014,1,0.8733333333333334
2013,1,0.8571428571428572
2011,0,0.9
2011,1,0.9
2013,1,0.9
2012,1,0.8571428571428572
2011,1,0.9
2013,1,0.9
2012,1,0.8571428571428572
2012,1,0.9333333333333333
2011,1,0.9
2012,1,0.9333333333333333
2014,1,0.7800339270641162
2011,0,0.9
2013,1,0.9
2013,0,0.9
2014,1,0.8733333333333334
2011,1,0.8571428571428572
2012,1,0.8484848484848485
2014,1,0.8733333333333334
2012,1,0.8571428571428572
2012,1,0.8571428571428572
2012,0,0.9
2011,1,0.9333333333333333
2011,1,0.9333333333333333
2013,0,0.9333333333333333
2013,1,0.8571428571428572
2013,1,0.9
2013,1,0.8571428571428572
2011,1,0.9333333333333333
2014,1,0.8733333333333334
2013,1,0.8571428571428572
2012,1,0.8984213960154303
2014,1,0.8733333333333334
2011,1,0.9333333333333333
2014,1,0.8733333333333334
2014,0,0.8733333333333334
2014,1,0.8733333333333334
2011,1,0.9
2012,1,0.9333333333333333
2013,1,0.8571428571428572
2013,1,0.8571428571428572
2013,1,0.9333333333333333
2014,1,0.8733333333333334
2013,1,0.9
2013,1,0.9
2011,1,0.8571428571428572
2014,1,0.8733333333333334
2014,1,0.8733333333333334
2012,1,0.9333333333333333
2011,1,0.9
2012,0,0.9
2014,1,0.8733333333333334
2014,1,0.8733333333333334
2013,1,0.9
2013,1,0.8571428571428572
2013,1,0.9
2014,1,0.8733333333333334
2011,1,0.9
2012,1,0.9
2013,1,0.9
2011,1,0.9333333333333333
2011,1,0.9333333333333333
2014,0,0.5375
2013,0,0.6160714285714286
2011,0,0.42857142857142855
2012,0,0.6875
2011,1,0.7037037037037037
2013,0,0.5625
2014,0,0.2962962962962963
2011,1,0.7878787878787878
2013,0,0.7067307692307692
2014,1,0.4375
2012,0,0.4901315789473684
2014,0,0.3333333333333333
2012,1,0.7878787878787878
2012,0,0.55
2011,1,0.5526315789473684
2012,1,0.6160714285714286
2011,1,0.40586329577487107
2012,1,0.125
2013,0,0.21428571428571427
2012,1,0.5081792921546903
2011,0,0.125
2013,0,0.35714285714285715
2011,0,0.4
2012,1,0.7037037037037037
2012,0,0.4375
2011,1,0.3125
2013,0,0.4901315789473684
2014,1,0.5375
2013,1,0.567714336081859
2011,0,0.6284826576722613
2014,0,0.3333333333333333
2012,1,0.6160714285714286
2011,0,0.47936508303129133
2012,0,0.125
2014,0,0.2962962962962963
2014,0,0.6755952380952381
2013,0,0.42857142857142855
2013,1,0.4901315789473684
2011,0,0.2222222222222222
2013,0,0.4901315789473684
2011,0,0.4901315789473684
2011,0,0.1944944427891688
2011,0,0.6537037037037037
2012,1,0.32787550291163087
2011,1,0.6537037037037037
2011,0,0.5446428571428572
2013,1,0.3125
2012,1,0.4901315789473684
2012,1,0.6537037037037037
2014,1,0.5375
2014,1,0.5375
2012,1,0.8484848484848485
2013,0,0.5891427082430223
2013,0,0.3125
2011,1,0.3125
2011,0,0.2222222222222222
2013,0,0.6875
2011,0,0.6875
2013,1,0.42465530645314453
2012,0,0.5608465608465608
2013,1,0.7688292672993768
2011,0,0.42857142857142855
2012,1,0.16666666666666666
2012,0,0.2222222222222222
2013,1,0.42857142857142855
2011,0,0.1111111111111111
2011,0,0.1875
2011,1,0.35417665178187513
2012,0,0.3125
2012,1,0.4901315789473684
2011,1,0.09615384615384616
2013,0,0.3226433192426519
2013,1,0.5
2012,0,0.35714285714285715
2013,1,0.3125
2013,1,0.6875
2013,0,0.21428571428571427
2011,0,0.16666666666666666
2013,0,0.125
2013,1,0.4901315789473684
2013,1,0.16666666666666666
2014,1,0.5375
2014,1,0.17647058823529413
2011,0,0.35714285714285715
2012,0,0.24758729414260494
2012,0,0.1111111111111111
2014,0,0.125
2012,0,0.35714285714285715
2014,0,0.2962962962962963
2014,1,0.5375
2013,0,0.125
2011,1,0.17998258841256565
2011,0,0.16374269005847952
2012,0,0.125
2012,1,0.4571428571428572
2013,1,0.35714285714285715
2011,0,0.6875
2011,1,0.5736004686442499
2011,0,0.08333333333333333
2012,0,0.125
2013,0,0.4901315789473684
2013,0,0.09615384615384616
2013,1,0.4
2012,0,0.4375
2012,0,0.125
2014,0,0.17647058823529413
2012,0,0.125
2011,1,0.3125
2011,1,0.125
2011,0,0.10714285714285714
2012,1,0.19575832482635186
2013,0,0.1111111111111111
2011,1,0.5638252277919582
2011,0,0.42857142857142855
2014,0,0.2962962962962963
2011,1,0.55
2011,0,0.2148492900420752
2014,0,0.113084075660748
2011,1,0.4375
2013,1,0.09615384615384616
2012,0,0.125
2014,0,0.17647058823529413
2013,0,0.09615384615384616
2013,0,0.125
2012,0,0.08333333333333333
2013,0,0.35714285714285715
2012,1,0.26691729323308266
2012,0,0.16666666666666666
2013,0,0.10714285714285714
2011,1,0.4375
2012,0,0.18665806922368366
2014,0,0.125
2013,0,0.4125
2014,0,0.17647058823529413
2014,0,0.2962962962962963
2012,1,0.1111111111111111
2012,0,0.125
2014,0,0.125
2013,1,0.125
2013,0,0.09615384615384616
2013,0,0.125
2012,0,0.1111111111111111
2012,0,0.125
2014,1,0.17647058823529413
2013,1,0.125
2013,0,0.09375
2014,0,0.3962962962962963
2014,1,0.03809523809523809
2011,0,0.25
2012,0,0.125
2012,0,0.08333333333333333
2012,1,0.13209368722203182
2014,0,0.17647058823529413
2014,0,0.17647058823529413
2014,1,0.17647058823529413
2013,0,0.125
2013,1,0.5082633719271964
2011,1,0.1111111111111111
2012,0,0.1111111111111111
2014,0,0.29038774203182577
2014,1,0.17647058823529413
2011,1,0.125
2012,0,0.125
2012,0,0.09375
2012,0,0.125
2011,1,0.09615384615384616
2011,1,0.025
2014,0,0.03809523809523809
2014,0,0.03809523809523809
2013,0,0.125
2011,0,0.1875
2011,0,0.09375
2013,0,0.16666666666666666
2011,0,0.3125
2014,0,0.03809523809523809
2013,0,0.08333333333333333
2011,1,0.10714285714285714
2011,0,0.09375
2013,0,0.09375
2012,0,0.09375
2011,0,0.07630771543812653
2013,0,0.025
2012,0,0.08333333333333333
2012,0,0.09375
2011,0,0.03762484159973823
2012,0,0.09375
2014,0,0.125
2011,1,0.025
2013,0,0.0
2013,1,0.125
2014,0,0.03809523809523809
2011,0,0.0
2012,0,0.16666666666666666
2014,0,0.03809523809523809
2012,0,0.025
2012,0,0.03496432652954984
2012,1,0.125
2011,0,0.125
2011,0,0.025
2013,1,0.025
2013,0,0.09375
2013,0,0.025
2013,0,0.0
2011,0,0.09375
2014,0,0.03809523809523809
2013,0,0.025
2012,0,0.0
2014,0,0.03809523809523809
2011,0,0.125
2014,0,0.03809523809523809
2014,1,0.03809523809523809
2014,0,0.03809523809523809
2011,0,0.08333333333333333
2012,0,0.0
2013,0,0.09375
2013,0,0.0
2013,0,0.025
2014,0,0.03809523809523809
2013,0,0.09375
2013,0,0.0
2011,0,0.09375
2014,0,0.028779415787568735
2014,0,0.0
2012,0,0.0
2011,0,0.08333333333333333
2012,1,0.0
2014,0,0.03809523809523809
2014,0,0.0
2013,0,0.0
2013,0,0.0
2013,0,0.0
2014,0,0.0
2011,0,0.0
2012,0,0.0
2013,0,0.0
2011,0,0.0
2011,0,0.0
